"path","qualified_name","line","end_line","kind","source_sha256","disposition"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy.populate_exit_trend","351","361","function","49478a63c8d81a485f3e35b92d275b835c898d2328f0510270fb11c5805d30b6","FINGERPRINT_PROTECTED"
"monitoring/api/app.py","_base","23","29","function","35f21532694a5f9832bca04b92107a5a6813bb2a233171a462eebc93d8bc0c10","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","_payload","32","33","function","dd03a728674754e7dc68be39f33a614f164517b249528f7cc89c5a487e47d932","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","health","37","47","function","e7026f2819d7f19079565ef66b8e1668a65f78bc992c272c8dc5f18f71938119","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","status","51","63","function","a3b29d7fd2deced201819eccb26317e0372c4aca4422bdfcaeb5db030a0d430d","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","performance","67","76","function","1d1ae1269c496f9c857d4f808c000c2490ec5bbe042fc9af75888f3a6177e280","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","trades","80","88","function","fb28d26cdb88a42607c35b5dd8e31e7b63227356153633377eca8aac2541f545","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","errors","92","100","function","45b64b51af5dcee36aae80f91c0db94f925709b009b1920e690b78f582b993f7","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","crashes","104","108","function","e6b04cff4fdd62b81035e6c400268138a77f83b54b4a3b91473b7c074d6b91b3","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","latency","112","116","function","3b6dff388836a4830408006af7d5ad8f8ac6c8640fe5516deeeb568ea2891dc5","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","system","120","125","function","22eb9903691649a56629dd3e0b0096ace813578a2f29d9c8491fe82dcb240695","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","deployment","129","130","function","8fffc2d545eb55b513fcbec25bb121f9c439dcbf42aadf89abc9d9a3422f5c9d","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","pair","134","135","function","a000c5d46b0d6057d4562ca163f705953b4b456fd31fcec468bbe9cdc6dc8dcf","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","moneyflow","139","144","function","f9c1dc5f5da1c8d5fb872c4b57c86f62361b60af453dfd68bed3a0804d10ffd0","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/app.py","report","148","175","function","65494045a0781bce902797aa2690d6db6576140b06a9c5b749c4b2f2ba8d8b3e","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/authentication.py","audit","25","38","function","2f7adf0188b18a0270bedc3c3a135ef0194adbce90a032e02a7bd075833aa283","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/authentication.py","_audit_or_503","41","47","function","1d16d68eb56f9007f7f8ffa042698f516463180ed9deeb029c9b9ae61bd18468","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/authentication.py","_client_ip","50","51","function","747971612ff08b4f16c035555905916ae1cb848bb24e5ca49e57d7934bc6ac34","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/authentication.py","_allowed","54","59","function","b2d96f929acf1561949b8b71a0b4ad0a0f78038dd61b503b159089d093c4800c","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/authentication.py","require_bearer","62","92","function","ae3aa08759e3c0503765b7d38917323860ad68944d701086ed5cd247a77f73b8","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/configuration.py","_int","15","20","function","9bb10eac6bfc0c912fe1ffd64c0f568e3a8e2f5447eef40fe558296e603a059a","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/configuration.py","_bool","23","24","function","45d9408f8ea4d63aaa69f0bf3d16e8a77f84524628595311faecfaeff953224e","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/configuration.py","secret_is_configured","33","35","function","f9214879a8771a0eb5efbcccd549a3def8989dba5f5d223338851589171cbcb4","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/configuration.py","loopback_http_url","38","50","function","d85415f55a5df580d96ac7c4a443a332a4182906c3498b5d0c503adcc32ee254","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/configuration.py","Config.__init__","63","151","function","decc8a814765cf78aa87eacee38f97b1b0951be45586eca6992642d8b547bf4b","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/configuration.py","Config.banner","153","158","function","6ad0f93af1bface726c6503c1dbf560ab8879b04ab9b1e5e67ffa2c54c97e0e8","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/configuration.py","Config.allowed_networks","160","166","function","4dc2b6b2f74408ce2645456b4925f0a7f287ad340539a29a72620ab0599ddf9f","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/configuration.py","Config.runtime_errors","168","183","function","060e04c29b7595bff7694d5ad3b36926955054afe82aa25e8b2668f3aa3d1a8a","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/configuration.py","reload","189","194","function","2cd68aac378f798fa6f12e9350dc3df1c95655cf297fe783a65747186e7ad052","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/database.py","_read_only_sql","15","19","function","b4e060ceb8889089fda4cb0749b35297aa92bb8a0334917ce242938ac322eab7","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/database.py","query","22","40","function","23bc0c881e5ba48038bf525d8990e152d0b9ad7607f3bc4279a665d10b5c51bf","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/database.py","status","43","67","function","ae21db54222a8c5fbd4a53867395f217a12553cc5d1d277748e8183a3886bdeb","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/log_redaction.py","redact","44","54","function","05216e91652642fa9eff3b4c5816d5a091b954ef8bb35ba392dfe258f03b6a66","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/log_redaction.py","redact_obj","57","72","function","d92561c3c17b1b56bf5713fa4dfa713339eda6c7137f46c152c8d64289a5f373","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","_iso","29","33","function","657bf848c191724c799073cd591e2ccc89c21386b690fc0b2c983e58ee86c0d6","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","_parse_time","36","52","function","819921c89e1cfe5d1fc899d72a282d70a15e544f8dbf25738f70faefc014abd9","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","_safe_float","55","60","function","f6f187b4438831a0a972b16fcd4c3300a05e9432480834dd4f1c05ce9e5860f0","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","_safe_json","63","74","function","2a6019b4130ff02ce5164122d587501ad0b4d7b3cf6b6120ae833fa60be3576f","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","file_freshness","77","89","function","217030a8935897b0833b0e9f302863a9434564031319244c7feef3a3304b5a5a","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","_health","92","106","function","be8493701c0e817dcbbf702091a296dea100907356b6f11ed2f92b958be87db9","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","_file_health","109","124","function","2142a9dc03820e9edb5deaef53c0e62938bdcfe49c5e785016093835caea903f","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","runtime_health","127","141","function","132709bb75e70be04f40a7e93d31a9c0caeba655b21f8697ee3c819180562db4","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","container_state","144","163","function","a6ba39d28eae952f720db974ead41ea0e6bfa23c0fca212a3f461b12360d5682","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","system_resources","166","193","function","bc31616735882c52b96b5930e7b95a0aebcb26118daad26ba7d53647f255a6e6","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","binance_latency","196","231","function","ccad901d622c892f4c0a974a20ecf983ec831b83ab01c969a3cae160fedf7ddc","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","binance_latency.percentile","219","221","function","bc4eb5ccfbc1ec2841c705bf5799446e963e7f7b1b4bf9375dc49e8265ddd485","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","_tail_text","234","251","function","29c71787fa16808afc4c9173781dc73e83d724050d35c603025ccbdb5529de9e","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","tail_log","254","256","function","b381d6e99964f99c343f797edf198cf34a1688cdff4797747ee3119367a0b983","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","log_freshness","259","260","function","2784423e75df832c824db106e6093fcb5af562c5e8c51c70b7c3e068c6e32ee0","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","error_lines","263","275","function","50c788d96b17e4937a90fa3f31096ae446900aa725c3570b66c8e9830544e7a3","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","_log_line_epoch","278","280","function","b291fc3c45c9650d0e7bdf6ea9e4507d2d86848b4220a2aeffd22ddefe4d903b","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","crash_blocks","283","320","function","68abad25762c1095c2830d4f9e44baeb4540ff92a9cfb2eae018616dabd1115b","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","databases","323","330","function","50f3472ef059819a3f731245af6056455fc90537d54da24aa13a4e8cb9decf8f","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","execution_state","333","358","function","3c54d409030686a7d89bf034d4de44f7005975a108343a6786dd222dac5510ad","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","_read_jsonl_tail","361","373","function","f7e3136043737493330caa6a44d507a10e419a509c5438bce7ad6f1cda729f6c","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","performance","376","418","function","7e14d68a360d4b8f4eaf8cee136b97ce5d5f1421055586a8e88b7c8188813558","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","recent_trades","421","433","function","4594ab0ecb912877b436c5065424cb56440307fb7601701ffb26c7c4f0f40252","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","signal_performance","436","459","function","6c20adb8dac98e6163f6e34ce4344d661759870551dae42dc0cd6a104454e327","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","order_quality","462","508","function","7d7904f16a7278c67c8fde9586c73ec116826a68d43f533fe1b6a71a7f201e57","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","websocket_status","511","527","function","9fead83c93d49e235bbde417e31206946efa922a731afb88262a0f8f4b481fdb","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","active_pair_status","530","564","function","4716d779041e73f8b366cced422195c3514cc84c7d510842e5a0bd099dd3b0c7","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","moneyflow_status","567","680","function","ae818c1d82447e41bc38ae08930544d8aeb831ff89c4b430475629d54d11b96b","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","deployment_info","683","703","function","c3937af690727ba0022f476123ed3b2ad490383145d925dbd0209dd8d3794d1f","PRESERVE_AND_REGRESSION_TEST"
"monitoring/api/metrics.py","recent_security_warnings","706","721","function","62ea5fe0228ebb2c1fc148f55edacb3364f70975baf22e7a9679b4c49eafd363","PRESERVE_AND_REGRESSION_TEST"
"monitoring/control.py","check","10","29","function","412a16345a8c39754ef4b93cd6ef3c1daed88a3244b02dced4e6114235f009b1","PRESERVE_AND_REGRESSION_TEST"
"monitoring/control.py","main","32","37","function","b1cef0affd16cd5c39e41a2514f09e7588e96bb993c2bd8321a81a442b549b39","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","_base_url","18","24","function","ffd6fbdada5c82a5487f3984596f5e3188f2597993a7b41983c8793b0091b8ad","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","_get","27","45","function","370496c15d61990c065d135773bd110b054e12c707ef33a2bddd1db91b80736c","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","_clamp","48","52","function","865de0b7645c4a5024b3d77a5737d7940e1d89a528f0f5912f27b83a2769bc54","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server","55","120","function","15962fef13597c229529d0e66695312227c43dfa967cbfcbf5120184e921f57b","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_health","61","63","function","520337d7abbd59592d8d0391969f5bc73e283126e7789dc2f40ccd5d034261e8","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_status","66","68","function","c305fe9a932b236a9cbf7e4201314e6987a16180f9f1aff1d1de7d2e8f9a16c1","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_performance","71","73","function","3c8529a65ab5a35af054ec85b8a3d0a28dd48625f68586a279de03059926b99c","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_recent_trades","76","78","function","6331e6bf9787ef377e8dead5726b0f30eb87203a4e21defea37d39c97abcfbba","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_errors","81","83","function","a672a20f7a85c15f111c7e1eeddf16fae271e502f6096a203946279183b91fb1","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_crashes","86","88","function","2f90dc99df1f2f54d8e4fc173560fe09fea9a678ce77ab75e33374cce8c1b138","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_binance_latency","91","93","function","bb8f88a33cbf62f8d5bed8667cf8023f22b0c2b8e888ee993cc1b78a96058d3a","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_system_resources","96","98","function","f7641118399ee9cae583afc8b3942c46071b6052684b21304823918da3ae313d","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_deployment_status","101","103","function","821d862205ddd21d21859b5260bce4fba53059d0d4ec535594dca2d2035585d0","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_market_context","106","108","function","a9a0c778aa5324b6ed1464fe576b787ce64f0f4fc3726dbb4d3d23158632e85e","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_daily_report","111","113","function","c8d17462506dbefe2e28e5e0a4e0a209141ba2ca4adcd2d4d28d5f79ed720303","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","create_server.bot_custom_report","116","118","function","60fc2fe8eaa65e1ee2d0ef3a3b3cf25c7c27d2f6f677a2e5aee462165c500fae","PRESERVE_AND_REGRESSION_TEST"
"monitoring/mcp/monitor_mcp_server.py","main","123","125","function","31fdef83e4e907a485fa97e6407c4e3e7927a5195097f9a8772950493863e9d8","PRESERVE_AND_REGRESSION_TEST"
"monitoring/snapshot.py","collect","24","61","function","cff29a330593346f7329b96f54df475d0ddf59ef0fbd1bf2ed17295a51e47705","PRESERVE_AND_REGRESSION_TEST"
"monitoring/snapshot.py","atomic_write","64","80","function","a21fcd6a39d5f34be909618cd4dca49fc54311c1aee5311b1469c9d921527de4","PRESERVE_AND_REGRESSION_TEST"
"monitoring/snapshot.py","main","83","92","function","481e9009723b80093c856cfb906bfdc88a4ae82b38dcd13ecf53136e6e404c8b","PRESERVE_AND_REGRESSION_TEST"
"monitoring/telegram/telegram_reporter.py","_failure","17","19","function","182533b0a39c053b5e6c3c7e668189d0833321870f039fb0f9ce0c14be02fba8","PRESERVE_AND_REGRESSION_TEST"
"monitoring/telegram/telegram_reporter.py","_format","22","51","function","1fc5e5c08cc16831d748a7aed463aa025b2b90c5122a943f7d9ccb71454d9581","PRESERVE_AND_REGRESSION_TEST"
"monitoring/telegram/telegram_reporter.py","_send","54","67","function","13690e50d2cdd89ff67c91c061028d5d4a86ce8a08f0b3aed876c11a43efb082","PRESERVE_AND_REGRESSION_TEST"
"monitoring/telegram/telegram_reporter.py","main","70","117","function","b1d7e98af59f925f3b1a3724b5740a5721713a3bd7d3bddea01dae5514b03545","PRESERVE_AND_REGRESSION_TEST"
